Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Andreas Lilja,FLA,D,18,1,6,7,-2.0,12,13:31,1,4,16,6.3,,,,,,0,0,0.0
Branislav Mezei,FLA,D,79,3,4,7,-8.0,90,19:33,0,0,79,3.8,,,,,,0,0,0.0
Byron Ritchie,FLA,C,57,3,10,13,-13.0,51,18:12,0,0,75,4.0,,,,,,0,0,0.0
Christian Berglund RW *,FLA,,57,3,1,4,-10.0,158,6:46,0,0,27,11.1,,,,,,0,0,0.0
Craig MacDonald C *,FLA,,10,3,1,4,-2.0,10,12:01,0,0,17,17.6,,,,,,0,0,0.0
Darcy Hordichuk,FLA,LW,17,1,4,5,-6.0,8,11:54,0,1,25,4.0,,,,,,0,0,0.0
Denis Shvidki,FLA,RW,5,1,0,1,1.0,0,8:16,0,0,6,16.7,,,,,,0,0,0.0
Donald Audette RW *,FLA,,67,3,13,16,2.0,51,17:06,1,3,66,4.5,,,,,,0,0,0.0
Eric Beaudoin,FLA,LW,45,0,7,7,-4.0,80,17:43,0,0,26,0.0,,,,,,0,0,0.0
Eric Messier,FLA,LW,34,0,3,3,-5.0,25,12:31,0,0,42,0.0,,,,,,0,0,0.0
Grant McNeill,FLA,D,4,0,0,0,-1.0,7,11:54,0,0,1,0.0,,,,,,0,0,0.0
Gregory Campbell,FLA,C,3,0,0,0,0.0,5,2:43,0,0,0,0.0,,,,,,0,0,0.0
Ivan Novoseltsev LW *,FLA,,30,2,4,6,-6.0,12,10:18,0,0,30,6.7,,,,,,0,0,0.0
Jaroslav Bednar,FLA,RW,21,0,3,3,-2.0,16,11:15,0,0,13,0.0,,,,,,0,0,0.0
Jay Bouwmeester,FLA,D,55,14,8,22,-5.0,57,13:20,6,2,81,17.3,,,,,,0,0,0.0
Josh Olson,FLA,LW,2,0,1,1,-4.0,0,13:19,0,1,1,0.0,,,,,,0,0,0.0
Juraj Kolnik,FLA,RW,48,11,16,27,-4.0,16,19:30,3,8,117,9.4,,,,,,0,0,0.0
Kamil Piros C *,FLA,,13,1,1,2,2.0,4,13:01,0,0,19,5.3,,,,,,0,0,0.0
Kristian Huselius,FLA,F,79,13,24,37,-16.0,52,24:26,6,12,136,9.6,,,,,,0,0,0.0
Kristian Kudroc,FLA,D,2,0,0,0,-1.0,5,9:09,0,0,0,0.0,,,,,,0,0,0.0
Kyle Rossiter D *,FLA,,2,0,0,0,0.0,0,14:05,0,0,4,0.0,,,,,,0,0,0.0
Lee Goren,FLA,RW,3,1,0,1,-1.0,0,6:59,1,0,1,100.0,,,,,,0,0,0.0
Lukas Krajicek,FLA,D,32,4,3,7,-6.0,12,11:32,2,0,38,10.5,,,,,,0,0,0.0
Lyle Odelein,FLA,D,69,6,13,19,-9.0,26,15:30,1,3,110,5.5,,,,,,0,0,0.0
Marcus Nilson RW *,FLA,,56,6,13,19,-2.0,24,14:12,1,1,75,8.0,,,,,,0,0,0.0
Mathieu Biron,FLA,D,28,6,7,13,-9.0,22,16:02,5,2,66,9.1,,,,,,0,0,0.0
Matt Cullen,FLA,C,61,2,18,20,-15.0,30,23:02,0,9,85,2.4,,,,,,0,0,0.0
Mikael Samuelsson,FLA,RW,50,5,6,11,-10.0,84,13:53,0,0,65,7.7,,,,,,0,0,0.0
Mike Van Ryn,FLA,D,55,20,25,45,0.0,20,19:13,8,9,175,11.4,,,,,,0,0,0.0
Nathan Horton,FLA,RW,75,10,13,23,-5.0,22,14:47,0,1,122,8.2,,,,,,0,0,0.0
Niklas Hagman,FLA,LW,53,14,11,25,-7.0,14,16:04,2,3,100,14.0,,,,,,0,0,0.0
Pavel Trnka,FLA,D,82,4,12,16,-7.0,88,18:53,2,3,67,6.0,,,,,,0,0,0.0
Stephen Weiss,FLA,C,76,10,21,31,-6.0,24,14:14,2,6,168,6.0,,,,,,0,0,0.0
Total,FLA,,6,0,0,0,0.0,7,3:05,0,0,1,0.0,,,,,,0,0,0.0
Ty Jones,FLA,RW,2,0,0,0,0.0,2,7:15,0,0,0,0.0,,,,,,0,0,0.0
Vaclav Nedorost,FLA,C,37,3,6,9,0.0,35,12:15,0,1,50,6.0,,,,,,0,0,0.0
Valeri Bure RW *,FLA,,82,26,32,58,-16.0,81,22:34,8,16,280,9.3,,,,,,0,0,0.0
Viktor Kozlov RW *,FLA,,50,12,17,29,-10.0,10,17:41,3,8,82,14.6,,,,,,0,0,0.0
