Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Adam Foote,COL,D,78,16,16,32,2,32,16:09,6,3,,,,182,8.8,,,,2004-2005
Alex Tanguay,COL,LW,81,33,54,87,11,42,20:15,13,24,,,,253,13.0,,,,2004-2005
Andrei Nikolishin,COL,C,57,5,7,12,-5,37,13:06,0,0,,,,52,9.6,,,,2004-2005
Bates Battaglia LW *,COL,NAN,14,0,1,1,-3,19,15:04,0,0,,,,12,0.0,,,,2004-2005
Bob Boughner D *,COL,NAN,1,0,0,0,0,0,7:01,0,0,,,,1,0.0,,,,2004-2005
Brad Larsen LW *,COL,NAN,44,2,3,5,-4,73,8:06,0,0,,,,33,6.1,,,,2004-2005
Brett Clark,COL,D,55,1,2,3,-5,147,5:50,0,0,,,,25,4.0,,,,2004-2005
Charlie Stephens,COL,RW,4,2,0,2,1,0,10:17,1,0,,,,6,33.3,,,,2004-2005
Chris Gratton F *,COL,NAN,49,3,1,4,2,179,5:54,0,0,,,,32,9.4,,,,2004-2005
Chris McAllister D *,COL,NAN,11,0,0,0,-1,8,13:26,0,0,,,,8,0.0,,,,2004-2005
Cody McCormick,COL,C,36,3,4,7,0,10,11:51,1,0,,,,39,7.7,,,,2004-2005
Dan Hinote,COL,RW,49,5,7,12,3,24,16:16,1,1,,,,71,7.0,,,,2004-2005
Darby Hendrickson C *,COL,NAN,26,2,2,4,2,11,7:41,0,0,,,,17,11.8,,,,2004-2005
Dennis Bonvie,COL,RW,12,0,0,0,-4,2,18:36,0,0,,,,6,0.0,,,,2004-2005
Derek Morris D *,COL,NAN,73,8,22,30,13,87,24:03,5,5,,,,105,7.6,,,,2004-2005
Jim Cummins,COL,RW,13,2,1,3,1,18,16:55,0,0,,,,28,7.1,,,,2004-2005
John-Michael Liles,COL,D,51,11,25,36,-5,22,18:37,5,9,,,,110,10.0,,,,2004-2005
Jordan Krestanovich,COL,LW,4,0,1,1,-1,4,11:04,0,0,,,,1,0.0,,,,2004-2005
Karlis Skrastins,COL,D,58,2,14,16,2,30,17:20,0,4,,,,54,3.7,,,,2004-2005
Kurt Sauer D *,COL,NAN,28,0,1,1,-7,12,12:17,0,0,,,,40,0.0,,,,2004-2005
Marek Svatos,COL,RW,12,1,1,2,3,6,10:26,0,0,,,,14,7.1,,,,2004-2005
Martin Skoula D *,COL,NAN,69,6,22,28,4,47,20:53,2,8,,,,139,4.3,,,,2004-2005
Matthew Barnaby RW *,COL,NAN,59,4,7,11,-6,57,12:42,0,0,,,,53,7.5,,,,2004-2005
Mikhail Kuleshov,COL,LW,14,0,0,0,0,6,10:08,0,0,,,,25,0.0,,,,2004-2005
Milan Hejduk,COL,RW,69,25,54,79,30,42,18:21,7,18,,,,117,21.4,,,,2004-2005
Ossi Vaananen D *,COL,NAN,3,0,0,0,-1,0,11:19,0,0,,,,4,0.0,,,,2004-2005
Paul Kariya,COL,LW,76,19,20,39,2,70,18:20,3,6,,,,145,13.1,,,,2004-2005
Peter Forsberg,COL,C,82,35,40,75,19,20,18:45,16,12,,,,237,14.8,,,,2004-2005
Peter Worrell,COL,LW,20,1,3,4,-8,6,12:51,0,0,,,,21,4.8,,,,2004-2005
Riku Hahl,COL,C,6,0,2,2,-1,4,6:12,0,0,,,,1,0.0,,,,2004-2005
Rob Blake,COL,D,39,18,37,55,16,30,19:12,3,21,,,,85,21.2,,,,2004-2005
Steve Konowalchuk LW *,COL,NAN,74,13,33,46,6,61,24:23,8,18,,,,242,5.4,,,,2004-2005
Steve Moore,COL,C,82,5,8,13,18,26,21:49,0,1,,,,102,4.9,,,,2004-2005
Teemu Selanne,COL,RW,79,10,24,34,7,28,16:13,2,12,,,,115,8.7,,,,2004-2005
Travis Brigley,COL,LW,13,4,5,9,3,37,15:25,1,0,,,,24,16.7,,,,2004-2005
